City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
79,sur,22.5667,59.5289,33.34,49,72,6.66,OM,07/03/2024
80,iklehra,23.15,76.3833,26.29,82,100,6.03,IN,07/03/2024
81,ephraim,39.3597,-111.5863,31.26,14,0,9.98,US,07/03/2024
82,udachny,66.4167,112.4,10.95,54,9,3.3,RU,07/03/2024
83,longyearbyen,78.2186,15.6401,8.91,66,0,2.57,SJ,07/03/2024
84,sirte,31.2089,16.5887,24.54,71,0,5.58,LY,07/03/2024
85,namtsy,62.7161,129.6658,15.17,44,9,8.45,RU,07/03/2024
86,prado,-17.3411,-39.2208,23.09,68,0,3.1,BR,07/03/2024
87,ingeniero jacobacci,-41.3427,-69.5448,1.76,58,3,9.07,AR,07/03/2024
88,mirnyy,62.5353,113.9611,11.35,70,18,2.24,RU,07/03/2024
89,edinburgh of the seven seas,-37.0676,-12.3116,13.05,68,16,13.18,SH,07/03/2024
90,trairi,-3.2778,-39.2689,24.37,90,17,3.47,BR,07/03/2024
91,taroa,8.7058,171.2275,28.11,82,96,8.06,MH,07/03/2024
92,luderitz,-26.6481,15.1594,13.87,70,2,5.1,NA,07/03/2024
93,chibougamau,49.9168,-74.3659,16.79,94,100,10.29,CA,07/03/2024
94,mata-utu,-13.2816,-176.1745,27.94,81,12,10.64,WF,07/03/2024
95,yellowknife,62.456,-114.3525,19.67,50,100,2.24,CA,07/03/2024
96,praia da vitoria,38.7333,-27.0667,22.64,75,18,3.06,PT,07/03/2024
97,bamboo flat,11.7,92.7167,26.05,94,75,2.57,IN,07/03/2024
98,chandbali,20.7833,86.7667,27.29,85,100,3.92,IN,07/03/2024
99,hadibu,12.65,54.0333,26.5,81,40,10.07,YE,07/03/2024
100,pagar alam,-4.0167,103.2667,20.4,97,95,0.83,ID,07/03/2024
101,igarka,67.4667,86.5833,10.93,66,97,3.65,RU,07/03/2024
102,hamilton,39.1834,-84.5333,32.97,65,75,8.23,US,07/03/2024
103,cooper's town,26.8667,-77.5167,29.04,75,3,5.38,BS,07/03/2024
104,hithadhoo,-0.6,73.0833,28.2,78,35,2.78,MV,07/03/2024
105,bani walid,31.7566,13.9942,22.87,56,0,3.63,LY,07/03/2024
106,antonio enes,-16.2325,39.9086,22.42,73,1,0.98,MZ,07/03/2024
107,chimala,-8.85,34.0167,17.09,63,93,1.87,TZ,07/03/2024
108,camayenne,9.535,-13.6878,26.77,77,100,4.56,GN,07/03/2024
109,borogontsy,62.6683,131.1683,15.64,48,12,5.84,RU,07/03/2024
110,bikin,46.8161,134.26,19.24,89,37,0.75,RU,07/03/2024
111,kapa'a,22.0752,-159.319,28.18,72,75,5.66,US,07/03/2024
112,tura,25.5198,90.2201,24.07,97,100,3.03,IN,07/03/2024
113,kapuskasing,49.4169,-82.4331,22.82,65,49,6.19,CA,07/03/2024
114,utrik,11.2278,169.8474,27.93,81,88,8.08,MH,07/03/2024
115,camapua,-19.5314,-54.0439,26.68,25,0,1.7,BR,07/03/2024
116,zhangye,38.9342,100.4517,20.29,50,100,9.53,CN,07/03/2024
117,nar'yan-mar,67.6713,53.087,14.03,77,76,2.86,RU,07/03/2024
118,nemuro,43.3236,145.575,13.86,86,96,2.38,JP,07/03/2024
119,waat,51.1454,6.4958,15.04,86,100,2.57,DE,07/03/2024
120,nchelenge,-9.3451,28.734,19.5,55,37,2.71,ZM,07/03/2024
121,lamar,33.6668,-95.5836,38.13,52,7,4.58,US,07/03/2024
122,new norfolk,-42.7826,147.0587,5.72,97,8,1.2,AU,07/03/2024
123,college,64.8569,-147.8028,19.48,51,100,9.77,US,07/03/2024
124,rongelap,11.1635,166.8941,28.1,78,57,7.23,MH,07/03/2024
125,margaret river,-33.95,115.0667,8.97,87,6,3.79,AU,07/03/2024
126,ternate,0.8,127.4,26.05,80,100,1.25,ID,07/03/2024
127,vadso,70.0744,29.7487,7.49,87,75,2.06,NO,07/03/2024
128,nelson bay,-32.7167,152.15,14.5,61,95,0.89,AU,07/03/2024
129,tazovsky,67.4667,78.7,13.54,55,100,7.12,RU,07/03/2024
130,errachidia,31.9275,-4.4285,31.11,7,0,0.66,MA,07/03/2024
131,sao sepe,-30.1606,-53.5653,13.84,82,86,0.89,BR,07/03/2024
132,magadan,59.5667,150.8,14.15,74,9,1.17,RU,07/03/2024
133,las tablas,7.7667,-80.2833,28.67,75,100,3.66,PA,07/03/2024
134,susuman,62.7833,148.1667,13.96,72,9,0.52,RU,07/03/2024
135,fort bragg,35.139,-79.006,33.23,46,20,3.6,US,07/03/2024
136,hakha,22.65,93.6167,18.07,98,100,1.37,MM,07/03/2024
137,ardestan,33.3761,52.3694,31.3,18,3,1.58,IR,07/03/2024
138,fairbanks,64.8378,-147.7164,19.49,52,100,9.77,US,07/03/2024
139,itamaraca,-7.7478,-34.8256,25.03,81,34,4.77,BR,07/03/2024
140,ganjam,19.3833,85.0667,28.32,81,100,2.89,IN,07/03/2024
141,pitea,65.3172,21.4794,14.05,90,45,1.4,SE,07/03/2024
142,bethanie,-26.4833,17.15,10.47,32,2,1.59,NA,07/03/2024
143,iqaluit,63.7506,-68.5145,5.85,70,100,5.66,CA,07/03/2024
144,montpon-menesterol,45.0,0.1667,18.35,77,88,2.39,FR,07/03/2024
145,qaqortoq,60.7167,-46.0333,4.77,78,7,1.68,GL,07/03/2024
146,pizarro,4.9533,-77.366,26.9,79,98,3.4,CO,07/03/2024
147,wad az zaki,14.4619,32.2065,30.95,48,42,10.18,SD,07/03/2024
148,veraval,20.9,70.3667,28.89,83,100,8.57,IN,07/03/2024
149,cabo san lucas,22.8909,-109.9124,30.1,50,1,0.89,MX,07/03/2024
